layer,lang,screen_page_views,active_users,sessions,avg_engagement_seconds
category,EN,1745,1505,1678,12.6
category,CN,808,728,785,26.9
category,JP,64,54,56,23.0
list,EN,129,102,115,44.2
list,CN,86,67,74,27.3
list,JP,7,3,3,16.3
lora,EN,115,104,122,15.7
lora,CN,70,66,75,21.2
lora,JP,30,23,27,21.2
solutions,EN,4080,3551,4208,35.5
solutions,CN,1405,1217,1426,45.5
solutions,JP,133,121,129,29.8
